hs6,sic87dd,share,weights_method
10110,272,1,"no weights needed"
10111,272,1,"no weights needed"
10119,272,1,"no weights needed"
10120,272,1,"no weights needed"
10190,272,1,"no weights needed"
10210,211,.19300048,"trade-based"
10210,241,.8069995,"trade-based"
10290,211,.96587175,"trade-based"
10290,241,.031903639,"trade-based"
10290,279,.0022246174,"trade-based"
10310,213,1,"no weights needed"
10391,213,1,"no weights needed"
10392,213,1,"no weights needed"
10410,214,1,"no weights needed"
10420,214,1,"no weights needed"
10511,259,1,"no weights needed"
10512,259,1,"no weights needed"
10519,259,1,"no weights needed"
10591,259,1,"no weights needed"
10592,259,1,"no weights needed"
10593,259,1,"no weights needed"
10599,259,1,"no weights needed"
10600,271,.0086747445,"trade-based"
10600,279,.99132526,"trade-based"
10611,279,1,"no weights needed"
10612,279,1,"no weights needed"
10619,271,.071129099,"trade-based"
10619,279,.92887092,"trade-based"
10620,279,1,"no weights needed"
10631,259,1,"no weights needed"
10632,259,1,"no weights needed"
10639,259,1,"no weights needed"
10690,279,1,"no weights needed"
20110,2011,1,"no weights needed"
20120,2011,1,"no weights needed"
20130,2011,1,"no weights needed"
20210,2011,1,"no weights needed"
20220,2011,1,"no weights needed"
20230,2011,1,"no weights needed"
20311,2011,1,"no weights needed"
20312,2011,1,"no weights needed"
20319,2011,1,"no weights needed"
20321,2011,1,"no weights needed"
20322,2011,1,"no weights needed"
20329,2011,1,"no weights needed"
20410,2011,1,"no weights needed"
20421,2011,1,"no weights needed"
20422,2011,1,"no weights needed"
20423,2011,1,"no weights needed"
20430,2011,1,"no weights needed"
20441,2011,1,"no weights needed"
20442,2011,1,"no weights needed"
20443,2011,1,"no weights needed"
20450,2011,1,"no weights needed"
20500,2011,1,"no weights needed"
20610,2011,1,"no weights needed"
20621,2011,1,"no weights needed"
20622,2011,1,"no weights needed"
20629,2011,1,"no weights needed"
20630,2011,1,"no weights needed"
20641,2011,1,"no weights needed"
20649,2011,1,"no weights needed"
20680,2011,1,"no weights needed"
20690,2011,1,"no weights needed"
20710,2015,1,"no weights needed"
20711,2015,1,"no weights needed"
20712,2015,1,"no weights needed"
20713,2015,1,"no weights needed"
20714,2015,1,"no weights needed"
20721,2015,1,"no weights needed"
20722,2015,1,"no weights needed"
20723,2015,1,"no weights needed"
20724,2015,1,"no weights needed"
20725,2015,1,"no weights needed"
20726,2015,1,"no weights needed"
20727,2015,1,"no weights needed"
20731,2015,1,"no weights needed"
20732,2015,1,"no weights needed"
20733,2015,1,"no weights needed"
20734,2015,1,"no weights needed"
20735,2015,1,"no weights needed"
20736,2015,1,"no weights needed"
20739,2015,1,"no weights needed"
20741,2015,1,"no weights needed"
20742,2015,1,"no weights needed"
20743,2015,1,"no weights needed"
20750,2015,1,"no weights needed"
20810,2015,1,"no weights needed"
20820,2015,1,"no weights needed"
20830,2015,1,"no weights needed"
20840,2015,1,"no weights needed"
20850,2015,1,"no weights needed"
20890,2015,1,"no weights needed"
20900,2011,1,"no weights needed"
21011,2011,1,"no weights needed"
21012,2011,1,"no weights needed"
21019,2011,1,"no weights needed"
21020,2011,1,"no weights needed"
21090,2011,.76378918,"trade-based"
21090,2015,.23621084,"trade-based"
21091,2011,1,"no weights needed"
21092,2011,1,"no weights needed"
21093,2011,1,"no weights needed"
21099,2011,1,"no weights needed"
30110,273,1,"no weights needed"
30191,912,1,"no weights needed"
30192,273,1,"no weights needed"
30193,273,1,"no weights needed"
30199,273,1,"no weights needed"
30211,273,.33297804,"trade-based"
30211,912,.66702193,"trade-based"
30212,273,.9265455,"trade-based"
30212,912,.073454492,"trade-based"
30219,912,1,"no weights needed"
30221,912,1,"no weights needed"
30222,912,1,"no weights needed"
30223,912,1,"no weights needed"
30229,912,1,"no weights needed"
30231,912,1,"no weights needed"
30232,912,1,"no weights needed"
30233,912,1,"no weights needed"
30234,912,1,"no weights needed"
30235,912,1,"no weights needed"
30236,912,1,"no weights needed"
30239,912,1,"no weights needed"
30240,912,1,"no weights needed"
30250,912,1,"no weights needed"
30261,912,1,"no weights needed"
30262,912,1,"no weights needed"
30263,912,1,"no weights needed"
30264,912,1,"no weights needed"
30265,912,1,"no weights needed"
30266,912,1,"no weights needed"
30269,912,1,"no weights needed"
30270,912,1,"no weights needed"
30310,912,1,"no weights needed"
30311,912,1,"no weights needed"
30319,912,1,"no weights needed"
30321,912,1,"no weights needed"
30322,912,1,"no weights needed"
30329,912,1,"no weights needed"
30331,912,1,"no weights needed"
30332,912,1,"no weights needed"
30333,912,1,"no weights needed"
30339,912,1,"no weights needed"
30341,912,1,"no weights needed"
30342,912,1,"no weights needed"
30343,912,1,"no weights needed"
30344,912,1,"no weights needed"
30345,912,1,"no weights needed"
30346,912,1,"no weights needed"
30349,912,1,"no weights needed"
30350,912,1,"no weights needed"
30360,912,1,"no weights needed"
30371,912,1,"no weights needed"
30372,912,1,"no weights needed"
30373,912,1,"no weights needed"
30374,912,1,"no weights needed"
30375,912,1,"no weights needed"
30376,912,1,"no weights needed"
30377,912,1,"no weights needed"
30378,912,1,"no weights needed"
30379,912,1,"no weights needed"
30380,912,1,"no weights needed"
30410,273,.53496307,"trade-based"
30410,912,.4650369,"trade-based"
30420,912,1,"no weights needed"
30490,912,1,"no weights needed"
30510,2091,1,"no weights needed"
30520,2091,1,"no weights needed"
30530,2091,1,"no weights needed"
30541,2091,1,"no weights needed"
30542,2091,1,"no weights needed"
30549,2091,1,"no weights needed"
30551,2091,1,"no weights needed"
30559,2091,1,"no weights needed"
30561,2091,1,"no weights needed"
30562,2091,1,"no weights needed"
30563,2091,1,"no weights needed"
30569,2091,1,"no weights needed"
30611,913,1,"no weights needed"
30612,913,1,"no weights needed"
30613,913,1,"no weights needed"
30614,913,1,"no weights needed"
30619,913,1,"no weights needed"
30621,913,1,"no weights needed"
30622,273,.99413109,"trade-based"
30622,913,.0058688922,"trade-based"
30623,913,1,"no weights needed"
30624,913,1,"no weights needed"
30629,913,1,"no weights needed"
30710,273,.53393292,"trade-based"
30710,913,.46606705,"trade-based"
30721,913,1,"no weights needed"
30729,913,1,"no weights needed"
30731,273,.89261997,"trade-based"
30731,913,.10738004,"trade-based"
30739,913,1,"no weights needed"
30741,913,1,"no weights needed"
30749,913,1,"no weights needed"
30751,913,1,"no weights needed"
30759,913,1,"no weights needed"
30760,913,1,"no weights needed"
30791,913,.64458489,"trade-based"
30791,919,.35541508,"trade-based"
30799,913,1,"no weights needed"
40110,2026,1,"no weights needed"
40120,2026,1,"no weights needed"
40130,2026,1,"no weights needed"
40210,2023,1,"no weights needed"
40221,2023,1,"no weights needed"
40229,2023,1,"no weights needed"
40291,2023,1,"no weights needed"
40299,2023,1,"no weights needed"
40310,2023,.013212619,"trade-based"
40310,2026,.98678738,"trade-based"
40390,2023,.19596505,"trade-based"
40390,2026,.80403495,"trade-based"
40410,2022,.0057957675,"trade-based"
40410,2023,.99420422,"trade-based"
40490,2023,1,"no weights needed"
40500,2021,1,"no weights needed"
40510,2021,1,"no weights needed"
40520,2021,.023963049,"trade-based"
40520,2023,.97603697,"trade-based"
40590,2021,1,"no weights needed"
40610,2022,1,"no weights needed"
40620,2022,1,"no weights needed"
40630,2022,1,"no weights needed"
40640,2022,1,"no weights needed"
40690,2022,1,"no weights needed"
40700,259,.81646425,"trade-based"
40700,2099,.18353575,"trade-based"
40811,2015,1,"no weights needed"
40819,2015,1,"no weights needed"
40891,2015,1,"no weights needed"
40899,2015,1,"no weights needed"
40900,279,1,"no weights needed"
41000,919,1,"no weights needed"
50100,9900,1,"no weights needed"
50210,2011,1,"no weights needed"
50290,279,1,"no weights needed"
50300,9900,1,"no weights needed"
50400,2011,1,"no weights needed"
50510,9900,1,"no weights needed"
50590,2077,1,"no weights needed"
50610,2011,1,"no weights needed"
50690,2011,1,"no weights needed"
50710,9900,1,"no weights needed"
50790,9900,1,"no weights needed"
50800,919,1,"no weights needed"
50900,919,1,"no weights needed"
51000,919,.30339476,"trade-based"
51000,2011,.69660521,"trade-based"
51110,211,1,"no weights needed"
51191,2077,1,"no weights needed"
51199,211,.0015547719,"trade-based"
51199,241,.00040704873,"trade-based"
51199,2011,.59575939,"trade-based"
51199,2077,.40227881,"trade-based"
60110,181,1,"no weights needed"
60120,181,1,"no weights needed"
60210,181,1,"no weights needed"
60220,181,1,"no weights needed"
60230,181,1,"no weights needed"
60240,181,1,"no weights needed"
60290,181,.99340332,"trade-based"
60290,182,.0065966561,"trade-based"
60291,182,1,"no weights needed"
60299,181,1,"no weights needed"
60310,181,1,"no weights needed"
60390,181,1,"no weights needed"
60410,831,1,"no weights needed"
60491,181,.60328561,"trade-based"
60491,811,.39671442,"trade-based"
60499,811,1,"no weights needed"
70110,134,1,"no weights needed"
70190,134,1,"no weights needed"
70200,161,1,"no weights needed"
70310,161,1,"no weights needed"
70320,161,1,"no weights needed"
70390,161,1,"no weights needed"
70410,161,1,"no weights needed"
70420,161,1,"no weights needed"
70490,161,1,"no weights needed"
70511,161,1,"no weights needed"
70519,161,1,"no weights needed"
70521,161,1,"no weights needed"
70529,161,1,"no weights needed"
70610,161,1,"no weights needed"
70690,161,1,"no weights needed"
70700,161,1,"no weights needed"
70810,161,1,"no weights needed"
70820,119,.13743098,"trade-based"
70820,161,.86256903,"trade-based"
70890,119,.55206764,"trade-based"
70890,161,.44793236,"trade-based"
70910,161,1,"no weights needed"
70920,161,1,"no weights needed"
70930,161,1,"no weights needed"
70940,161,1,"no weights needed"
70951,182,1,"no weights needed"
70952,182,1,"no weights needed"
70959,182,1,"no weights needed"
70960,161,1,"no weights needed"
70970,161,1,"no weights needed"
70990,161,.98389721,"trade-based"
70990,179,.016102811,"trade-based"
71010,2037,1,"no weights needed"
71021,2037,1,"no weights needed"
71022,2037,1,"no weights needed"
71029,2037,1,"no weights needed"
71030,2037,1,"no weights needed"
71040,2037,1,"no weights needed"
71080,2037,1,"no weights needed"
71090,2037,1,"no weights needed"
71110,2035,1,"no weights needed"
71120,179,.22033632,"trade-based"
71120,2035,.77966368,"trade-based"
71130,2035,1,"no weights needed"
71140,2035,1,"no weights needed"
71151,2035,1,"no weights needed"
71159,2035,1,"no weights needed"
71190,2035,1,"no weights needed"
71210,2034,1,"no weights needed"
71220,2034,1,"no weights needed"
71230,2034,1,"no weights needed"
71231,2034,1,"no weights needed"
71232,2034,1,"no weights needed"
71233,2034,1,"no weights needed"
71239,2034,1,"no weights needed"
71290,181,.010837493,"trade-based"
71290,2034,.9891625,"trade-based"
71310,119,1,"no weights needed"
71320,119,1,"no weights needed"
71331,119,1,"no weights needed"
71332,119,1,"no weights needed"
71333,119,1,"no weights needed"
71339,119,1,"no weights needed"
71340,119,1,"no weights needed"
71350,119,1,"no weights needed"
71390,119,1,"no weights needed"
71410,139,1,"no weights needed"
71420,139,.9874481,"trade-based"
71420,2037,.012551875,"trade-based"
71490,139,.92740339,"trade-based"
71490,161,.029324535,"trade-based"
71490,2034,.027843269,"trade-based"
71490,2037,.015428822,"trade-based"
80110,173,.074578576,"trade-based"
80110,2068,.92542142,"trade-based"
80111,179,1,"no weights needed"
80119,173,.70355576,"trade-based"
80119,2068,.29644421,"trade-based"
80120,173,.3175599,"trade-based"
80120,2068,.6824401,"trade-based"
80121,173,1,"no weights needed"
80122,2068,1,"no weights needed"
80130,2068,1,"no weights needed"
80131,2068,1,"no weights needed"
80132,173,1,"no weights needed"
80211,173,1,"no weights needed"
80212,2068,1,"no weights needed"
80221,173,1,"no weights needed"
80222,2068,1,"no weights needed"
80231,173,1,"no weights needed"
80232,2068,1,"no weights needed"
80240,2068,1,"no weights needed"
80250,173,1,"no weights needed"
80290,173,.27241823,"trade-based"
80290,2068,.72758174,"trade-based"
80300,2034,1,"no weights needed"
80410,179,.85353166,"trade-based"
80410,2034,.14646836,"trade-based"
80420,179,.43720984,"trade-based"
80420,2034,.56279016,"trade-based"
80430,179,.94675642,"trade-based"
80430,2034,.053243559,"trade-based"
80440,179,1,"no weights needed"
80450,179,.93953568,"trade-based"
80450,2034,.060464345,"trade-based"
80510,174,1,"no weights needed"
80520,174,1,"no weights needed"
80530,174,1,"no weights needed"
80540,174,1,"no weights needed"
80550,174,1,"no weights needed"
80590,174,1,"no weights needed"
80610,172,1,"no weights needed"
80620,2034,1,"no weights needed"
80710,161,1,"no weights needed"
80711,161,1,"no weights needed"
80719,161,1,"no weights needed"
80720,179,1,"no weights needed"
80810,175,1,"no weights needed"
80820,175,1,"no weights needed"
80910,175,1,"no weights needed"
80920,175,1,"no weights needed"
80930,175,1,"no weights needed"
80940,175,1,"no weights needed"
81010,171,1,"no weights needed"
81020,171,1,"no weights needed"
81030,171,1,"no weights needed"
81040,171,.92777455,"trade-based"
81040,831,.072225474,"trade-based"
81050,179,1,"no weights needed"
81060,179,1,"no weights needed"
81090,171,.0016017308,"trade-based"
81090,179,.99839824,"trade-based"
81110,2037,1,"no weights needed"
81120,2037,1,"no weights needed"
81190,2037,1,"no weights needed"
81210,2035,1,"no weights needed"
