Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,010121,"Horses; live, pure-bred breeding animals",5,Number of items,9,,,,,,214965,,,4
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,010129,"Horses; live, other than pure-bred breeding animals",5,Number of items,21,,,,14097,,584229,,,4
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,010513,"Poultry; live, ducks, weighing not more than 185g",5,Number of items,4,,,,322,,25585,,,4
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,010613,"Mammals; live, camels and other camelids (Camelidae)",5,Number of items,704,,,,,,262805,,,4
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",5,Number of items,483,,,,298,,39345,,,4
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,010632,"Birds; live, Psittaciformes",5,Number of items,15,,,,9,,3475,,,4
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",8,Weight in kilograms,55811,,,,55811,,304907,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8,Weight in kilograms,2931030,,,,2931030,,24369392,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",8,Weight in kilograms,30891400,,,,30891400,,289900008,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020210,"Meat; of bovine animals, carcasses and half-carcasses, frozen",8,Weight in kilograms,22409,,,,22409,,12399,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",8,Weight in kilograms,35941600,,,,35941600,,142934438,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020230,"Meat; of bovine animals, boneless cuts, frozen",8,Weight in kilograms,103137500,,,,103137500,,548219223,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",8,Weight in kilograms,159167,,,,159167,,115033,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",8,Weight in kilograms,314953,,,,314953,,238744,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020410,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",8,Weight in kilograms,13759,,,,13759,,196228,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020421,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",8,Weight in kilograms,14000,,,,14000,,87181,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020422,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8,Weight in kilograms,4730140,,,,4730140,,34710683,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020423,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",8,Weight in kilograms,132253,,,,132253,,1487719,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020430,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",8,Weight in kilograms,1790,,,,1790,,8539,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020441,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",8,Weight in kilograms,2497,,,,2497,,11282,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020442,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",8,Weight in kilograms,5788780,,,,5788780,,36483297,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020443,"Meat; of sheep (including lamb), boneless cuts, frozen",8,Weight in kilograms,3851080,,,,3851080,,28698102,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020450,"Meat; of goats, fresh, chilled or frozen",8,Weight in kilograms,1200262,,,,1200262,,10537792,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020610,"Offal, edible; of bovine animals, fresh or chilled",8,Weight in kilograms,1221942,,,,1221942,,11326886,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020621,"Offal, edible; of bovine animals, tongues, frozen",8,Weight in kilograms,22687,,,,22687,,69727,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020622,"Offal, edible; of bovine animals, livers, frozen",8,Weight in kilograms,21165,,,,21165,,46666,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",8,Weight in kilograms,21668300,,,,21668300,,87183172,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020641,"Offal, edible; of swine, livers, frozen",8,Weight in kilograms,22500,,,,22500,,11729,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020649,"Offal, edible; of swine, (other than livers), frozen",8,Weight in kilograms,607140,,,,607140,,750380,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020680,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",8,Weight in kilograms,11851,,,,11851,,63459,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020690,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",8,Weight in kilograms,185721,,,,185721,,493813,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020711,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",8,Weight in kilograms,216,,,,216,,1007,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",8,Weight in kilograms,23000,,,,23000,,39968,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",8,Weight in kilograms,2832770,,,,2832770,,2555676,,,0
