Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2011,2011,2011,6,1,1,Import,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,5,Number of items,5,,,,2500,,27149,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,5,Number of items,99,,,,49500,,2730702,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010511,"Live fowls of species Gallus domesticus, weighing not >185g",5,Number of items,134432,,,,5377,,756966,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010519,"Live ducks/geese/guinea fowls, weighing not >185g",5,Number of items,2835,,,,211,,16004,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010620,"Live reptiles, incl. snakes & turtles",5,Number of items,100,,,,5,,7320,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020230,"Meat of bovine animals, frozen, boneless",8,Weight in kilograms,2315,,,,2315,,8385,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020319,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), fresh/chilled",8,Weight in kilograms,178541,,,,178541,,977567,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020322,"Hams, shoulders & cuts thereof , frozen, bone-in",8,Weight in kilograms,1436776,,,,1436776,,3485360,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020329,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen",8,Weight in kilograms,37042442,,,,37042442,,132481985,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020649,"Edible offal of swine (excl. liver), frozen",8,Weight in kilograms,1582371,,,,1582371,,3400157,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020725,"Meat of turkeys, not cut in pieces, frozen",8,Weight in kilograms,2119,,,,2119,,7224,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020727,"Cuts & edible offal of turkey, frozen",8,Weight in kilograms,240,,,,240,,1284,,,0
H3,2011,2011,2011,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020900,"Pig fat (free of lean meat) & poultry fat (not rendered/othw. extracted), fresh/chilled/frozen/salted/in brine/dried/smoked",8,Weight in kilograms,237965,,,,237965,,339709,,,0
