Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1991,1991,1991,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,010310,"Swine, live pure-bred breeding",5,Number of items,38,,,,0,,44727,,,0
H0,1991,1991,1991,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,010600,"Animals, live, except farm animals",8,Weight in kilograms,1375,,,,1375,,45202,,,0
H0,1991,1991,1991,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,010600,"Animals, live, except farm animals",8,Weight in kilograms,34863,,,,34863,,386861,,,0
H0,1991,1991,1991,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,020319,"Swine cuts, fresh or chilled, nes",8,Weight in kilograms,772000,,,,772000,,5247604,,,0
H0,1991,1991,1991,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,020329,"Swine cuts, frozen nes",8,Weight in kilograms,2756500,,,,2756500,,15816868,,,0
H0,1991,1991,1991,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,020443,"Sheep cuts, boneless, frozen",8,Weight in kilograms,109480,,,,109480,,245344,,,0
H0,1991,1991,1991,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,020500,"Horse, ass, mule, hinny meat, fresh, chilled or froze",8,Weight in kilograms,15062,,,,15062,,99829,,,0
H0,1991,1991,1991,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,020641,"Swine livers, frozen",8,Weight in kilograms,21000,,,,21000,,15332,,,0
H0,1991,1991,1991,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,020721,"Fowls, domestic, whole, frozen",8,Weight in kilograms,8937,,,,8937,,45551,,,0
H0,1991,1991,1991,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030110,"Ornamental fish, live",8,Weight in kilograms,500,,,,500,,176352,,,0
H0,1991,1991,1991,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030192,"Eels, live",8,Weight in kilograms,597,,,,597,,95132,,,0
H0,1991,1991,1991,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030193,"Carp, live",8,Weight in kilograms,60621,,,,60621,,151954,,,0
H0,1991,1991,1991,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030199,"Fish live, except trout, eel or carp",8,Weight in kilograms,2710062,,,,2710062,,34109294,,,0
