Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1988,1988,1988,5,0,0,M,392,Japan,JPN,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,11823022904,11823022904,,0
H0,1988,1988,1988,5,0,0,X,392,Japan,JPN,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,15437862829,,15437862829,0
H0,1989,1989,1989,5,0,0,M,392,Japan,JPN,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13007693600,13007693600,,0
H0,1989,1989,1989,5,0,0,X,392,Japan,JPN,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16591881184,,16591881184,0
H0,1990,1990,1990,5,0,0,M,392,Japan,JPN,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,11717775626,11717775626,,0
H0,1990,1990,1990,5,0,0,X,392,Japan,JPN,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17428522588,,17428522588,0
H0,1991,1991,1991,5,0,0,M,392,Japan,JPN,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,12340696144,12340696144,,0
H0,1991,1991,1991,5,0,0,X,392,Japan,JPN,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,20079289741,,20079289741,0
H0,1992,1992,1992,5,0,0,M,392,Japan,JPN,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,11568277178,11568277178,,0
H0,1992,1992,1992,5,0,0,X,392,Japan,JPN,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17793393713,,17793393713,0
