Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010121,"Horses; live, pure-bred breeding animals",5,Number of items,1220,,,,,,13718046,,,4
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010310,"Swine; live, pure-bred breeding animals",5,Number of items,382,,,,49171,,449183,,,4
H5,2019,2019,2019,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",5,Number of items,53,,,,407,,103343,,,4
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",5,Number of items,16295,,,,24989,,3272553,,,4
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010620,Reptiles; live (including snakes and turtles),5,Number of items,74868,,,,,,464371,,,4
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010649,"Insects; live, other than bees",1,No Quantity,0,,,,10195,,608960,,,6
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8,Weight in kilograms,4309443,,,,4309443,,38095052,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",8,Weight in kilograms,52522136,,,,52522136,,508911621,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020210,"Meat; of bovine animals, carcasses and half-carcasses, frozen",8,Weight in kilograms,39350,,,,39350,,304477,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",8,Weight in kilograms,377218,,,,377218,,1314768,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",8,Weight in kilograms,4741471,,,,4741471,,24983292,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",8,Weight in kilograms,4200974,,,,4200974,,10164601,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",8,Weight in kilograms,179344100,,,,179344100,,491583436,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020430,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",8,Weight in kilograms,459,,,,459,,2798,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020442,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",8,Weight in kilograms,13321,,,,13321,,50034,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020610,"Offal, edible; of bovine animals, fresh or chilled",8,Weight in kilograms,2127873,,,,2127873,,22837201,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",8,Weight in kilograms,9124405,,,,9124405,,38678109,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020649,"Offal, edible; of swine, (other than livers), frozen",8,Weight in kilograms,6904020,,,,6904020,,14489219,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",8,Weight in kilograms,1036,,,,1036,,2949,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020727,"Meat and edible offal; of turkeys, cuts and offal, frozen",8,Weight in kilograms,356484,,,,356484,,666531,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020745,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",8,Weight in kilograms,2135,,,,2135,,6547,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020760,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen",8,Weight in kilograms,20000,,,,20000,,25000,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020890,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen",8,Weight in kilograms,17641,,,,17641,,21020,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020910,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",8,Weight in kilograms,19540407,,,,19540407,,15502248,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,021011,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",8,Weight in kilograms,133065,,,,133065,,519044,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,021019,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",8,Weight in kilograms,169537,,,,169537,,1283713,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030119,"Fish; live, ornamental, other than freshwater",8,Weight in kilograms,6450,,,,6450,,49273,,,6
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030191,"Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",8,Weight in kilograms,1771,,,,1771,,6964,,,6
H5,2019,2019,2019,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030199,"Fish; live, n.e.c. in heading 0301",8,Weight in kilograms,1500039,,,,1500039,,14022465,,,6
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030199,"Fish; live, n.e.c. in heading 0301",8,Weight in kilograms,15987,,,,,,252954,,,6
