Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1991,1991,1991,5,0,0,M,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17735570270,17735570270,,0
H0,1991,1991,1991,5,0,0,X,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,15504106200,,15504106200,0
H0,1992,1992,1992,5,0,0,M,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17362350204,17362350204,,0
H0,1992,1992,1992,5,0,0,X,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,14629694762,,14629694762,0
H0,1993,1993,1993,5,0,0,M,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17778970842,17778970842,,0
H0,1993,1993,1993,5,0,0,X,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,14775543200,,14775543200,0
H0,1994,1994,1994,5,0,0,M,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,20374344802,20374344802,,0
H0,1994,1994,1994,5,0,0,X,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,18028327475,,18028327475,0
H0,1995,1995,1995,5,0,0,M,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,24890533888,24890533888,,0
H0,1995,1995,1995,5,0,0,X,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,25413122048,,25413122048,0
H1,1996,1996,1996,5,0,0,M,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,23297375846,23297375846,,0
H1,1996,1996,1996,5,0,0,X,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,26582874324,,26582874324,0
H1,1997,1997,1997,5,0,0,M,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,23797587592,23797587592,,0
H1,1997,1997,1997,5,0,0,X,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,25066619145,,25066619145,0
H1,1998,1998,1998,5,0,0,M,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,24804795903,24804795903,,0
H1,1998,1998,1998,5,0,0,X,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16538268575,,16538268575,0
H1,1999,1999,1999,5,0,0,M,842,USA,USA,410,Rep. of Korea,KOR,0,World,W00,C00,TOTAL CPC,0,TOTAL MOT,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,32474500822,32474500822,,0
