czone,statefip,city,yr,d_tradejakor_pw,d_tradeuskor_pw,t2,timepwt48,reg_midatl,reg_encen,reg_wncen,reg_satl,reg_escen,reg_wscen,reg_mount,reg_pacif,l_popcount,l_no_workers_totcbp,l_shind_manuf_cbp,l_sh_popedu_c,l_sh_popfborn,l_sh_empl_f,l_sh_routine33,l_task_outsource,l_sh_empl,l_sh_empl_mfg,l_sh_empl_mfg_m,l_sh_empl_mfg_f,l_sh_empl_mfg_edu_nc,l_sh_empl_mfg_edu_c,l_sh_empl_mfg_age1634,l_sh_empl_mfg_age3549,l_sh_empl_mfg_age5064,l_sh_empl_nmfg,l_sh_empl_nmfg_m,l_sh_empl_nmfg_f,l_sh_empl_nmfg_edu_nc,l_sh_empl_nmfg_edu_c,l_sh_empl_nmfg_age1634,l_sh_empl_nmfg_age3549,l_sh_empl_nmfg_age5064,l_sh_unempl,l_sh_unempl_m,l_sh_unempl_f,l_sh_unempl_edu_nc,l_sh_unempl_edu_c,l_sh_unempl_age1634,l_sh_unempl_age3549,l_sh_unempl_age5064,l_sh_nilf,l_sh_nilf_m,l_sh_nilf_f,l_sh_nilf_edu_nc,l_sh_nilf_edu_c,l_sh_nilf_age1634,l_sh_nilf_age3549,l_sh_nilf_age5064,l_sh_ssadiswkrs,l_avg_lnwkwage_mfg,l_avg_lnwkwage_nmfg,l_trans_totindiv_pc,l_trans_totmed_pc,l_trans_fedinc_pc,l_trans_othinc_pc,l_trans_unemp_pc,l_trans_taaimp_pc,l_trans_totedu_pc,l_trans_ssaret_pc,l_trans_ssadis_pc,l_avg_hhincsum_pc_pw,l_avg_hhincwage_pc_pw,l_tradeusch_pw,l_tradeotch_pw,d_tradeusch_pw,d_tradeotch_pw_lag,lnchg_popworkage,lnchg_popworkage_edu_c,lnchg_popworkage_edu_nc,lnchg_popworkage_age1634,lnchg_popworkage_age3549,lnchg_popworkage_age5064,d_popcount,d_sh_empl,d_sh_empl_mfg,d_sh_empl_nmfg,d_sh_empl_mfg_m,d_sh_empl_nmfg_m,d_sh_empl_mfg_f,d_sh_empl_nmfg_f,d_sh_empl_mfg_edu_nc,d_sh_empl_nmfg_edu_nc,d_sh_empl_mfg_edu_c,d_sh_empl_nmfg_edu_c,d_sh_empl_mfg_age1634,d_sh_empl_nmfg_age1634,d_sh_empl_mfg_age3549,d_sh_empl_nmfg_age3549,d_sh_empl_mfg_age5064,d_sh_empl_nmfg_age5064,d_sh_empl_edu_c,d_sh_empl_edu_nc,d_sh_unempl,d_sh_unempl_m,d_sh_unempl_f,d_sh_unempl_edu_nc,d_sh_unempl_edu_c,d_sh_unempl_age1634,d_sh_unempl_age3549,d_sh_unempl_age5064,d_sh_nilf,d_sh_nilf_m,d_sh_nilf_f,d_sh_nilf_edu_nc,d_sh_nilf_edu_c,d_sh_nilf_age1634,d_sh_nilf_age3549,d_sh_nilf_age5064,d_sh_ssadiswkrs,d_avg_lnwkwage,d_avg_lnwkwage_c,d_avg_lnwkwage_nc,d_avg_lnwkwage_m,d_avg_lnwkwage_f,d_avg_lnwkwage_c_m,d_avg_lnwkwage_c_f,d_avg_lnwkwage_nc_m,d_avg_lnwkwage_nc_f,d_avg_lnwkwage_mfg,d_avg_lnwkwage_mfg_c,d_avg_lnwkwage_mfg_nc,d_avg_lnwkwage_nmfg,d_avg_lnwkwage_nmfg_c,d_avg_lnwkwage_nmfg_nc,lnchg_no_empl,lnchg_no_empl_mfg,lnchg_no_empl_nmfg,lnchg_no_empl_mfg_edu_nc,lnchg_no_empl_nmfg_edu_nc,lnchg_no_empl_mfg_edu_c,lnchg_no_empl_nmfg_edu_c,lnchg_no_unempl,lnchg_no_nilf,lnchg_no_ssadiswkrs,lnchg_trans_totindiv_pc,lnchg_trans_totmed_pc,lnchg_trans_fedinc_pc,lnchg_trans_othinc_pc,lnchg_trans_unemp_pc,lnchg_trans_taaimp_pc,lnchg_trans_totedu_pc,lnchg_trans_ssaret_pc,lnchg_trans_ssadis_pc,d_trans_totindiv_pc,d_trans_totmed_pc,d_trans_fedinc_pc,d_trans_othinc_pc,d_trans_unemp_pc,d_trans_taaimp_pc,d_trans_totedu_pc,d_trans_ssaret_pc,d_trans_ssadis_pc,relchg_avg_hhincsum_pc_pw,relchg_avg_hhincwage_pc_pw,relchg_avg_hhincbusinv_pc_pw,relchg_avg_hhinctrans_pc_pw,relchg_avg_hhincrest_pc_pw,relchg_med_hhincsum_pc_pw,relchg_med_hhincwage_pc_pw,d_avg_hhincsum_pc_pw,d_avg_hhincwage_pc_pw,d_avg_hhincbusinv_pc_pw,d_avg_hhinctrans_pc_pw,d_avg_hhincrest_pc_pw,d_med_hhincsum_pc_pw,d_med_hhincwage_pc_pw,d_tradex_usch_pw,d_tradex_otch_pw_lag,d_tradeusch_netinput_pw,d_inputotch_pw_lag,d_netimpusch_pw,d_expotch_pw_lag,d_traderes_pw_lag,d_nettradefactor_usch_io,d_tradefactor_otch_lag_io,d_expfactor_otch_lag_io,d_tradeuschlw_pw,d_tradeotchlw_pw_lag,d_tradeuschce_pw,d_tradeotchce_pw_lag,d_tradeusce_pw,d_tradeotce_pw_lag,d_tradeushi_pw,d_tradeothi_pw_lag
100,47,undefined,1990,0.505409886,-0.217371176,0,0.002113522,0,0,0,0,1,0,0,0,520876.5726,179838,39.787476,33.884003,1.0654762,57.659035,31.322742,-0.17480724,66.599228,20.529799,26.794666,14.5227,21.709044,18.180445,19.112692,24.925209,17.02401,46.069424,49.12838,43.136333,38.005127,62.13559,46.805733,52.318699,36.216187,4.7420993,5.4908934,4.0241141,5.644361,2.9445627,7.191812,3.3862889,2.2616963,28.658672,18.586061,38.316853,34.641472,16.739407,26.889763,19.369804,44.498108,3.2236874,6.3452654,6.145575,3488.1589,1123.3013,264.95044,68.755394,74.499512,0.76694179,46.747047,1140.0117,230.05643,22939.152,17777.697,1.308498057,1.256037565,5.293786339,2.278827597,9.8195734,31.467924,-3.1139898,-4.6981373,15.531534,24.551508,56997.961,0.15873909,-3.8059785,3.9647162,-3.9163442,1.0646552,-3.8856268,6.7406626,-3.8520126,3.2175303,-3.0542226,0.32100677,-4.3966575,6.7735791,-4.0710421,1.5837491,-2.8116732,4.2989197,-2.7332158,-0.6344825,-1.0439727,-1.4510829,-0.66391003,-1.008486,-0.56847519,-1.6941175,-0.14464743,-0.37001258,0.88523626,4.3027682,-2.1911263,1.6429693,3.301692,-0.68280101,2.6319385,-1.1172354,2.1959693,11.314535,7.6235771,9.6104622,8.0919266,16.92996,5.03335,14.154863,6.5966606,13.121891,12.459421,5.1095486,11.755133,12.327099,9.5795155,10.328484,10.057637,-10.684761,18.075182,-22.647152,5.0127025,13.076247,31.983217,-15.045786,12.86172,61.770237,40.458488,68.457123,-2.7941628,95.88681,-2.4062912,151.13156,34.408669,23.967358,59.140236,1739.476,1104.1169,-7.3006749,110.60969,-1.7712786,2.7093675,19.199055,308.75421,185.5451,22.470053,16.417482,38.877548,37.06226,70.07946,17.89637,15.986219,5154.4395,2918.6504,1425.0056,266.78064,544.00415,3337.4688,2465.2715,5.528661086,2.485803338,4.7778568,0.462061311,5.5568171,0.924031988,0.919360493,4.8153715,2.236522202,0.473667282,5.7450852,2.4371889,11.72344,2.3637543,6.429653385,0.084926784,8.08631834,3.398634314
200,47,undefined,1990,0.140184988,0.588102715,0,0.0007317,0,0,0,0,1,0,0,0,180327.0665,60403,42.233002,31.591215,0.96523958,57.389729,29.615757,-0.13212615,65.901779,17.946482,22.318438,13.749491,19.315348,14.890121,16.418882,21.872639,15.26874,47.955299,52.450245,43.64024,40.309723,65.026108,48.295147,53.919655,38.969532,5.5291944,6.0181561,5.0598006,6.6463432,3.0348582,8.0567617,4.4228153,2.407259,28.569025,19.213161,37.550468,33.728588,17.048908,27.229208,19.784889,43.354469,3.2164567,6.2902007,6.1755948,3240.0388,1064.6558,296.90399,80.041695,122.12538,1.1714371,42.440334,977.23004,225.65678,23266.844,17645.734,0.647637298,0.433644482,3.030479166,2.797734712,25.652657,33.987854,21.681732,13.280781,32.33913,36.826229,47651.934,2.5353551,-0.68144798,3.2168031,0.96793026,1.3523877,-2.3718529,4.9598365,-0.41726083,4.3709188,-0.84911883,-1.0383308,0.010968745,4.9052954,-2.5889397,1.9479871,0.51171929,2.9488087,-1.8874496,3.9536581,-1.1363868,-2.1866972,-0.11813082,-1.7069008,0.27876291,-2.0852487,-0.35438165,0.11408813,-1.3989657,-0.13362318,-2.4698524,-2.2467554,1.6086906,-2.8310151,0.99533349,-3.5746157,1.833814,6.3352585,3.582859,7.6943398,0.95882416,14.564991,-0.71744919,11.781406,2.5465488,14.756012,9.8398685,5.1785469,10.821342,5.1562786,3.2385826,6.6496849,29.427666,21.781574,32.145172,19.497803,31.976492,28.116232,32.378178,2.6453044,20.631908,70.768806,39.230469,66.478401,-11.713322,96.359802,-20.65708,139.28008,35.10722,25.806641,53.542648,1556.478,1005.1103,-32.81778,129.75641,-22.792421,3.5448978,17.849974,287.72073,159.80486,14.543496,7.716166,37.11599,31.876083,34.055702,11.444125,6.8891206,3383.8125,1361.5742,1502.0142,232.74683,287.47675,2105.043,1053.0674,3.110781147,2.955204822,2.7449627,0.296440642,2.9330575,0.614051463,1.070604941,2.975816,2.819396695,0.470285566,3.1393809,3.0333772,5.698626,2.8473275,2.668146928,0.04959281,4.824689261,0.610824305
301,47,undefined,1990,-0.177148118,0.170349407,0,0.0002608,0,0,0,0,1,0,0,0,64274.0167,15404,33.025658,26.137537,0.75283122,46.720547,28.812309,-0.42793658,55.678844,13.839528,17.116428,10.753551,14.553692,11.753881,13.482682,15.911216,11.634061,41.839321,48.074947,35.966995,34.515339,63.228344,39.662777,49.618999,35.21727,7.1709967,8.8011074,5.6358614,8.1405497,4.3395038,10.586826,5.6713743,2.5014071,37.150158,26.007515,47.643589,42.790421,20.678268,36.267715,28.798407,50.647259,4.9445581,6.1913323,6.1581764,4236.7139,1400.3522,629.2818,117.97897,68.404152,0.4855592,66.039116,805.84088,369.21869,19016.094,14054.104,0.38002187,0.939355086,2.062596352,0.720908637,4.9503479,6.1595731,4.5329046,-9.6624022,10.127351,22.7707,2935.5435,-3.1240821,-2.1658003,-0.95828176,-1.6755893,-4.1545334,-2.6584103,2.0267696,-2.0082891,-0.72396398,-2.5847263,-1.976651,0.14317781,1.1095136,-2.7356789,-0.3754586,-4.6225519,-4.5444131,-4.5613775,-2.7322531,-2.4287381,-3.3666751,-1.5511367,-3.3955297,0.39482117,-2.4971633,-2.2371092,-0.94093364,5.5528193,9.1967974,2.1827788,6.1277809,4.1665611,1.2444735,5.3482504,10.107899,3.9777207,4.4521809,1.2256145,6.1720848,1.6530514,10.382938,2.6800156,5.9895515,2.9370308,10.381603,-0.52213669,-5.4913044,1.9452572,6.3162327,2.9028416,8.4125519,-0.82410502,-12.068458,2.633328,-10.316133,2.4130807,-18.674271,2.9834476,-36.402763,18.880411,63.97673,43.481808,77.435097,13.016182,70.498711,-7.4467525,152.70708,2.505055,21.077337,63.664478,2307.6621,1637.2692,87.478165,120.7893,-4.9088449,1.7502801,1.675211,189.07648,328.65207,5.7897401,1.1627289,-3.7740474,71.283844,46.311619,2.2553108,-0.00498493,1100.9824,163.41113,-120.67578,688.20135,370.0462,339.0918,-0.54101563,2.121498512,0.742960382,1.8794532,0.104122139,1.9931712,0.134388283,0.226121736,2.3629363,1.100025908,0.110490782,2.6568599,0.79806548,6.7467227,0.73975325,4.68412658,0.018844589,5.223951961,-0.121527081
302,47,undefined,1990,0.161892968,0.012056814,0,0.002569472,0,0,0,0,1,0,0,0,633245.2104,233587,21.304695,42.284462,1.9097531,60.616653,30.025017,0.11003062,68.407166,13.948483,17.561983,10.533605,15.654987,11.549006,12.223379,17.335651,12.54319,54.458683,59.088825,50.083046,44.58329,68.344246,54.810322,60.2323,45.047787,4.7512999,5.1896338,4.33706,6.1030159,2.8506835,6.6210141,3.8420928,2.1309946,26.841534,18.159559,35.046284,33.658703,17.256062,26.345285,18.589956,40.27803,2.6461885,6.3615966,6.2368774,3404.4636,1089.718,269.34982,65.457451,75.59494,0.72511309,53.397251,1158.6653,190.03641,26988.85,20008.742,0.39214362,0.683154851,1.078308498,1.452137865,13.763144,30.54463,-0.15714405,-0.69071656,22.344952,27.943665,94927.25,0.41651726,-2.8290875,3.245604,-2.4825678,1.5412033,-3.1993971,4.8246679,-2.3839965,1.6724259,-2.6551425,1.202023,-2.3006067,3.5206497,-3.9591789,2.7400434,-2.7104616,4.1807652,-1.4531195,-0.71157068,-1.2215055,-1.4747992,-0.98413599,-1.4810327,-0.45060796,-1.2626834,-1.265844,-0.17490499,0.80498755,2.4161606,-0.64113438,2.1926045,1.9037306,0.042641163,2.4849787,-1.2953967,1.672362,16.339588,13.281298,13.119984,12.603998,21.750546,10.00371,19.057035,9.759903,16.257334,12.422609,6.9737911,11.770487,17.969704,15.183353,14.524889,14.370176,-8.9048424,19.552059,-16.678043,3.5254474,4.4208417,32.288116,-15.954714,16.718094,62.743099,32.501877,58.052372,-6.2056947,96.138588,-30.299929,129.63724,9.8020039,19.130499,54.336208,1307.5068,857.57983,-16.206949,105.73463,-19.760546,1.9259076,5.4991097,244.27986,137.16559,19.44396,19.309118,13.913703,23.177509,55.811604,20.362993,18.327444,5247.7012,3863.5117,760.13281,158.06299,465.99561,4161.6484,3081.6758,1.172390555,1.581675601,0.94074869,0.218709968,0.89248401,1.346361092,0.491242364,1.254223,1.590364875,0.583303664,1.4739665,1.5932635,2.3818989,1.4900311,1.303590497,0.037893306,3.598022346,-0.128302293
401,37,undefined,1990,0.073277163,0.608230462,0,0.001714489,0,0,0,1,0,0,0,0,422535,199867,32.28297,45.108311,2.1576035,68.670624,32.357979,0.069053248,74.454407,20.668043,25.205553,16.503794,24.090672,16.393045,18.438189,25.215748,18.403227,53.786362,55.551064,52.166832,44.443367,65.456131,55.425854,59.142864,42.14563,3.8648434,3.7426426,3.9769917,4.8994365,2.5725961,5.1902542,3.2468166,2.0221138,21.68075,15.500741,27.352385,26.566523,15.57823,20.945705,12.394568,37.429028,2.1984992,6.4361038,6.335948,2893.8154,881.04095,186.20599,67.143333,69.02861,0.052714042,48.352886,1172.549,159.8987,32419.377,24316.719,0.395674089,0.559599995,1.016084779,1.3338326,13.648208,23.854338,4.6527591,-1.0096114,22.583075,27.088055,68262.445,-1.6340435,-5.0376801,3.4036398,-4.6737909,2.0323813,-5.5660777,4.6464801,-5.4997606,2.4170904,-3.8144872,2.3818135,-5.425386,2.5240779,-6.4321833,3.8616776,-3.2256901,5.3364992,-1.4326737,-3.0826702,-0.50398445,-0.19044802,-0.79931986,-0.592044,-0.18744692,-0.008293241,-0.80311131,-0.21263398,2.1380277,2.8318584,1.7189145,3.6747158,1.6201228,2.9096022,3.3736184,-1.8981725,1.129506,12.081194,9.5963478,10.084724,7.9508305,16.596889,7.3542595,13.475847,5.4401398,13.702202,12.927008,12.971449,9.6569538,12.577963,9.9786758,11.989546,11.429076,-14.289124,19.784117,-21.262434,9.9486065,-2.632015,27.428488,-0.32425246,23.05316,55.108025,36.351326,61.945236,-8.5837488,111.32317,8.5228834,411.45596,34.213699,20.243687,49.188526,1268.5732,755.85413,-15.31668,137.25308,6.1412153,3.1747165,19.725714,263.09979,101.59907,12.492559,11.030429,13.079813,19.735577,40.878342,10.222797,8.5231609,4050.0098,2682.2383,860.33398,108.27368,399.16284,2579.7031,1823.9844,1.04448429,1.396579127,0.8810941,0.32323423,0.96608531,0.67647414,0.408674702,0.94324064,1.481342604,0.521304905,1.3450726,1.427622,2.4975266,1.3936117,1.481441881,0.059779112,2.74905029,5.928765168
402,51,undefined,1990,-0.145465664,0.748199065,0,0.00036492,0,0,0,1,0,0,0,0,89934.33582,42755,61.819672,30.795652,0.75068164,67.400124,34.086479,0.4281306,74.553917,34.21962,39.355774,29.340576,37.898151,25.827354,35.525009,36.554482,29.166094,40.334297,42.72892,38.059547,33.531143,55.855125,39.483273,47.772964,32.545681,2.8175471,2.6203401,3.0048821,3.0584297,2.2679937,4.4219942,1.6327891,1.6211019,22.628536,15.29497,29.594994,25.512276,16.049524,20.569725,14.039763,36.667122,3.3101673,6.2153425,6.183465,3306.658,850.17346,171.8517,53.616299,203.62494,2.5075245,49.666996,1332.4276,231.4976,24867.748,18955.156,1.065064479,1.893175513,3.276671414,1.854193458,-1.2806685,22.509508,-13.806057,-20.914057,10.800083,11.551603,1433.694,-5.2133141,-9.8819618,4.668653,-9.3832073,2.5682926,-10.550065,6.6537232,-10.032755,1.7152309,-7.0870714,4.6283426,-13.621852,8.0956459,-6.5864563,-0.51301718,-8.8209839,6.5977664,-2.4587288,-8.317524,0.92740601,1.2388278,0.62763506,1.5935073,0.037870742,1.1461656,2.1440811,-0.10153399,4.2859035,5.5760875,3.2687068,6.724021,2.4208591,4.3800383,4.9553928,2.324754,2.8480961,11.254883,5.8766842,10.371876,6.1524868,16.88714,-0.66957474,16.515255,7.273674,11.256504,11.56497,5.573082,11.147833,11.692524,7.4072361,11.468172,-8.5298586,-35.358097,9.6719179,-44.557728,-8.8172607,-9.5663776,30.470387,27.173573,16.064453,60.798939,39.808399,62.602161,15.419417,133.56602,18.852209,157.68839,52.593361,27.932989,68.20195,1616.8535,739.78314,28.650671,150.25998,42.244793,9.6285191,34.371441,429.36612,226.37407,16.736851,11.281581,22.886654,49.940559,88.394508,13.708051,9.4006968,4162.0781,2138.4414,1039.0264,297.13721,687.47247,2791.0801,1606.0469,3.348291038,1.930055911,3.0503507,0.221494598,3.2041187,0.664819641,0.453159161,3.7311161,2.422929785,0.611419566,3.9885647,2.1879323,5.9239202,1.873546,2.647248608,0.019352525,6.422720307,-2.011505521
500,37,Greensboro NC,1990,-0.04778967,0.612622609,0,0.0036668,0,0,0,1,0,0,0,0,903681,409689,39.256943,41.532318,1.7985085,70.993492,34.99752,0.32101837,76.933281,26.848343,31.427685,22.536764,31.733013,19.815323,24.55831,31.266945,25.083479,50.084942,51.81427,48.456726,40.51561,63.863003,51.160496,54.76519,40.803265,3.5428874,3.6658547,3.4271107,4.5020185,2.161917,5.1797976,2.5193286,1.6093128,19.523829,13.09219,25.579399,23.249357,14.159759,19.101395,11.448537,32.503941,2.3723123,6.3144064,6.2731805,2878.0737,840.64355,168.36938,63.272156,81.346916,0.24319218,51.58139,1212.8379,168.49069,29302.375,22259.502,0.549659414,0.721779695,2.050500145,1.107813825,14.841993,29.355495,3.3588934,1.6149869,24.702131,25.025972,155266.47,-3.558588,-7.2583199,3.6997318,-7.0941358,2.7486086,-7.4750676,4.5850487,-9.1145153,3.5294323,-3.5875366,0.73469281,-8.4186468,3.0895889,-7.8531637,2.6356518,-5.4177151,6.8071575,-2.8528438,-5.5850835,0.38340127,0.083005801,0.66855663,0.22507757,0.87530816,1.0412447,0.30884558,0.11098608,3.1751857,4.2625246,2.2214622,5.3600087,1.9775317,4.2878108,4.9086676,-1.5004277,1.1481142,15.707827,15.053749,10.621405,12.465477,19.883633,11.604977,19.806671,7.5124741,13.982868,18.603134,17.108488,12.632561,14.875793,15.08255,10.99925,10.106048,-16.676374,21.968809,-30.500067,11.71144,9.3824406,30.499357,25.117245,29.910574,54.313694,35.869049,62.824409,9.4990492,122.20551,-5.1950464,263.22769,38.56398,16.552534,46.707153,1241.7555,734.98859,16.777739,151.48338,-4.1181145,3.1384904,24.271875,218.32645,100.30512,19.329477,17.454695,23.268826,19.420185,45.03595,15.09445,13.47298,5663.9961,3885.3281,1347.7061,100.39618,330.56799,3518.6777,2677.3145,2.123014561,1.161620065,1.8667439,0.167361575,1.9312376,0.818726912,0.445524465,2.0444279,1.363445446,0.672607934,2.5222635,1.1955485,3.9902437,1.1296521,1.939743538,0.021838336,4.455750102,-0.654081627
601,37,undefined,1990,-0.550711265,-0.700058455,0,0.000330636,0,0,0,1,0,0,0,0,81485.13886,26291,47.761593,38.801243,1.2400911,62.235664,29.136065,-0.077072069,69.475052,21.226612,23.548775,18.928701,26.928902,12.012237,20.088106,24.486666,19.177444,48.24844,53.242069,43.306965,40.143036,61.346024,47.38987,55.849022,39.671444,3.4927235,3.4118817,3.572721,3.8578041,2.9027872,4.8292952,2.5730596,1.9224048,27.032223,19.797274,34.191616,29.070255,23.738953,27.692732,17.091251,39.228706,2.8355031,6.1098275,6.0983272,2864.043,897.91492,257.04422,96.234627,85.095451,0.064983569,37.919853,994.45441,192.43338,22549.518,16071.057,1.03458421,1.402594858,2.572852698,3.70039447,7.11203,15.38616,1.6260406,-13.988773,18.634472,28.259045,8577.7871,1.1491358,-1.3298676,2.4790049,-0.23636967,-0.35741925,-2.5253325,5.2141962,-2.6573925,1.435703,1.7240651,2.2644162,-2.1711006,4.3140264,-1.3525814,1.2048721,-0.55606067,1.8445224,3.9884813,-1.2216896,-0.2914615,-0.35068989,-0.22820197,-0.56156629,0.16473216,0.1959458,-0.25508553,-0.15350002,-0.85767806,0.94447732,-2.4606645,1.7832577,-4.1532159,-2.3388715,0.40279627,-1.1349648,1.8735774,19.599247,20.574331,16.499662,19.138193,19.824839,19.174051,22.057962,16.793919,15.036154,18.739796,20.615816,15.275431,20.124245,20.410728,17.848444,8.752532,0.64207506,12.122394,-8.7636509,5.1400399,28.797785,19.010887,-1.6016397,3.8878071,57.839352,52.35886,85.591164,-16.163979,88.877197,0.81506002,403.74814,47.769043,33.840595,56.049156,1970.6752,1215.3448,-38.364471,137.82155,0.69641322,3.6185062,23.220081,400.47656,144.62009,25.892384,26.504511,18.943796,28.546211,61.412334,28.000891,27.710241,5838.6074,4259.5547,981.19141,173.59937,424.26093,4945.916,3846.082,2.661694757,3.818387397,2.3546529,0.323479624,2.1732602,1.10185629,0.86943515,2.7664781,5.077306993,1.078952876,4.1119022,4.0974717,6.2010717,3.7555385,3.628219122,0.055144097,6.261423899,-0.390477957
602,51,undefined,1990,-0.996478347,-0.595600901,0,0.000236714,0,0,0,1,0,0,0,0,58337.9467,16632,56.379272,32.688431,1.0558939,60.466503,29.804928,0.000649309,68.847153,23.574711,27.952702,19.414173,26.287598,17.857876,22.919834,27.472145,19.394739,45.272446,49.713131,41.05233,37.347759,61.972054,44.325451,53.277683,35.97224,4.1511025,4.4342155,3.8820512,4.7792411,2.8274326,6.1580281,2.8768804,2.2993689,27.001741,17.899952,35.651443,31.585402,17.342644,26.596689,16.373291,42.333649,3.7233267,6.1506042,6.139452,3823.4949,1355.3583,238.74608,75.164047,101.27103,1.1148385,41.690994,1252.8344,236.31578,21585.033,16338.519,1.726462235,3.199469881,4.302583116,4.177617762,10.695033,22.043428,4.8231931,-6.8371654,17.32678,28.464535,5837.123,-4.9518824,-7.7885256,2.8366418,-7.9486132,0.009328127,-7.7533135,5.4787965,-9.1726675,1.5530705,-4.4287963,2.4718761,-6.7085223,5.2005825,-10.271118,1.3215542,-5.8839707,2.3715229,-1.9569204,-7.619597,-0.28283298,-0.032993406,-0.53503662,-0.29430652,-0.053086132,-0.002247095,0.13199374,-0.25963485,5.2347183,7.9722791,2.8095543,7.9139051,2.0100012,1.510185,8.8175697,3.7720828,1.8006405,15.137768,9.1311932,16.159868,15.364981,14.8592,10.1439,11.100817,16.674089,11.692047,16.014147,8.7753296,16.669846,14.767551,9.6267223,17.248106,3.2306776,-29.408901,16.772282,-38.091412,8.8974571,-6.4587884,25.954638,3.6383669,28.414705,50.142906,30.044907,47.559261,-5.0234327,83.753357,10.61109,157.2634,23.834723,22.887411,49.891296,1340.0016,825.36902,-11.696995,98.514572,11.336803,4.2579312,11.221122,322.20865,152.87978,19.12801,14.773485,15.360824,83.342812,79.04734,13.256255,8.3215046,4128.7871,2413.7686,593.70386,568.61786,552.69708,2364.0684,1208.4199,4.480193429,4.330203283,4.0010629,0.334006284,4.2091947,1.702450604,1.652460112,4.4531045,6.325722179,1.737410442,6.4070544,4.6823745,14.025989,4.266099,9.723405711,0.088481432,7.779754474,-1.444736284
700,45,undefined,1990,0.299430577,1.128552389,0,0.00127994,0,0,0,1,0,0,0,0,315440.5682,133592,39.775974,34.988693,1.8649111,65.710342,33.341354,-0.014484944,73.198738,27.882257,34.874382,21.394085,30.323019,23.228918,25.65056,32.904427,25.192419,45.316483,46.394398,44.316257,37.682682,59.870399,45.97208,49.187859,38.262081,4.217875,4.1037669,4.3237591,5.3624992,2.0356386,6.3016734,2.730691,2.031312,22.583385,14.627454,29.965899,26.6318,14.865047,22.075687,15.177022,34.514191,3.1329508,6.3476181,6.2190428,2888.2837,812.16168,172.16298,49.237083,72.738914,0.26769358,54.639912,1166.4547,216.74326,25802.225,20878.953,0.457785445,0.852295941,0.945886282,1.360124656,11.2864,29.265129,0.38181937,-4.0985155,19.608345,27.125586,37968.402,-3.3117592,-6.5283136,3.2165587,-6.8748894,0.59116483,-6.3117952,5.6771965,-7.4792175,2.6379914,-4.0028453,0.39185286,-6.9541364,4.6126308,-7.2754712,1.1545658,-5.5793719,4.6608982,-3.6109924,-4.8412266,-0.056161359,0.31807795,-0.4075408,-0.17253906,0.6574955,-0.2600413,0.84724838,0.040755421,3.3679156,5.9656472,1.0421395,5.0137668,2.9534981,2.6015475,5.2736564,0.87771714,2.2140155,14.160681,11.926174,10.53381,11.282921,18.8797,10.709667,18.121815,7.9418659,12.324619,17.210817,15.200377,13.380003,13.986397,11.867046,11.010838,6.6565218,-15.389011,18.143799,-27.940918,7.1481905,10.352061,29.917496,9.9459486,25.187132,64.741798,41.561066,68.625244,7.1573725,145.95963,-0.10706496,149.85561,45.935066,18.876644,62.858177,1488.3203,801.00085,12.774035,162.69023,-0.077836215,0.93029475,31.857565,242.34128,189.63942,19.950081,15.685474,34.316219,28.981426,65.701653,17.548775,11.070022,5147.5645,3274.9629,1247.5647,174.46631,450.57031,3768.3711,2115.1973,1.014884712,1.41488241,0.76137161,0.133612408,0.75450414,0.890921535,0.571514705,0.70108467,1.761079897,0.71878555,1.4388195,1.4435191,2.5639207,1.3703887,1.618034343,0.010264137,4.137647667,-2.680576811
